round,model,template,winner_bidder,V,b_win,profit
4,GPT-5,debias,2,118.81129432782429,112,6.811294327824285
5,GPT-5,debias,3,60.97929622692328,59,1.9792962269232817
6,GPT-5,debias,1,73.95640986275365,76,-2.0435901372463547
7,GPT-5,debias,2,102.55680806334573,97,5.556808063345727
8,GPT-5,debias,1,93.67514815312836,94,-0.3248518468716384
9,GPT-5,debias,2,99.66397684991422,85,14.66397684991422
10,GPT-5,debias,3,82.9391214485284,73,9.939121448528397
11,GPT-5,debias,2,117.58795949725658,124,-6.412040502743423
12,GPT-5,debias,2,115.55583870857896,96,19.55583870857896
13,GPT-5,debias,1,101.32061395122432,107,-5.679386048775683
14,GPT-5,debias,1,122.54482413936066,100,22.544824139360657
15,GPT-5,debias,3,109.35018684504092,113,-3.6498131549590767
16,GPT-5,debias,4,82.81415074233524,88,-5.185849257664756
17,GPT-5,debias,1,107.37501568164998,112,-4.624984318350016
18,GPT-5,debias,1,80.82234798342003,61,19.82234798342003
19,GPT-5,debias,1,117.56900602614544,118,-0.4309939738545552
20,GPT-5,debias,4,99.00148178027494,129,-29.998518219725057
21,GPT-5,debias,1,96.3027527290948,95,1.3027527290948058
22,GPT-5,debias,2,86.38140911192117,69,17.381409111921172
23,GPT-5,debias,1,124.4508267734806,132,-7.5491732265194
24,GPT-5,debias,4,96.90941035862396,106,-9.090589641376042
25,GPT-5,debias,2,91.43344355673786,96,-4.566556443262144
26,GPT-5,debias,3,92.9573289902354,109,-16.042671009764604
27,GPT-5,debias,1,110.64618371106698,114,-3.353816288933018
28,GPT-5,debias,1,107.30888128728157,93,14.308881287281565
29,GPT-5,debias,4,108.25465223191976,90,18.254652231919763
30,GPT-5,debias,1,108.61642006015764,126,-17.383579939842363
1,DeepSeek,baseline,4,106.09434159508862,98,8.094341595088622
2,DeepSeek,baseline,2,79.20031787519008,74,5.2003178751900805
3,DeepSeek,baseline,1,115.00902391612914,112,3.009023916129138
4,DeepSeek,baseline,4,118.81129432782429,113,5.811294327824285
5,DeepSeek,baseline,3,60.97929622692328,52,8.979296226923282
6,DeepSeek,baseline,1,73.95640986275365,63,10.956409862753645
7,DeepSeek,baseline,2,102.55680806334573,91,11.556808063345727
8,DeepSeek,baseline,3,93.67514815312836,86,7.675148153128362
9,DeepSeek,baseline,2,99.66397684991422,77,22.66397684991422
10,DeepSeek,baseline,3,82.9391214485284,70,12.939121448528397
11,DeepSeek,baseline,2,117.58795949725658,123,-5.412040502743423
12,DeepSeek,baseline,2,115.55583870857896,90,25.55583870857896
13,DeepSeek,baseline,1,101.32061395122432,98,3.320613951224317
14,DeepSeek,baseline,3,122.54482413936066,103,19.544824139360657
15,DeepSeek,baseline,3,109.35018684504092,120,-10.649813154959077
16,DeepSeek,baseline,4,82.81415074233524,90,-7.185849257664756
17,DeepSeek,baseline,3,107.37501568164998,116,-8.624984318350016
18,DeepSeek,baseline,3,80.82234798342003,52,28.82234798342003
19,DeepSeek,baseline,1,117.56900602614544,110,7.569006026145445
20,DeepSeek,baseline,4,99.00148178027494,137,-37.99851821972506
21,DeepSeek,baseline,1,96.3027527290948,85,11.302752729094806
22,DeepSeek,baseline,4,86.38140911192117,64,22.381409111921172
23,DeepSeek,baseline,1,124.4508267734806,126,-1.5491732265194003
24,DeepSeek,baseline,4,96.90941035862396,112,-15.090589641376042
25,DeepSeek,baseline,2,91.43344355673786,90,1.4334435567378563
26,DeepSeek,baseline,3,92.9573289902354,115,-22.042671009764604
27,DeepSeek,baseline,3,110.64618371106698,108,2.646183711066982
28,DeepSeek,baseline,4,107.30888128728157,96,11.308881287281565
29,DeepSeek,baseline,4,108.25465223191976,92,16.254652231919763
30,DeepSeek,baseline,1,108.61642006015764,120,-11.383579939842363
1,DeepSeek,debias,4,106.09434159508862,98,8.094341595088622
2,DeepSeek,debias,1,79.20031787519008,73,6.2003178751900805
3,DeepSeek,debias,1,115.00902391612914,112,3.009023916129138
4,DeepSeek,debias,4,118.81129432782429,113,5.811294327824285
5,DeepSeek,debias,3,60.97929622692328,43,17.97929622692328
6,DeepSeek,debias,1,73.95640986275365,63,10.956409862753645
7,DeepSeek,debias,4,102.55680806334573,83,19.556808063345727
8,DeepSeek,debias,1,93.67514815312836,83,10.675148153128362
9,DeepSeek,debias,1,99.66397684991422,71,28.66397684991422
10,DeepSeek,debias,3,82.9391214485284,61,21.939121448528397
11,DeepSeek,debias,4,117.58795949725658,112,5.587959497256577
12,DeepSeek,debias,4,115.55583870857896,89,26.55583870857896
13,DeepSeek,debias,1,101.32061395122432,98,3.320613951224317
14,DeepSeek,debias,3,122.54482413936066,94,28.544824139360657
15,DeepSeek,debias,3,109.35018684504092,111,-1.6498131549590767
16,DeepSeek,debias,4,82.81415074233524,90,-7.185849257664756
17,DeepSeek,debias,3,107.37501568164998,107,0.3750156816499839
18,DeepSeek,debias,1,80.82234798342003,48,32.82234798342003
19,DeepSeek,debias,1,117.56900602614544,110,7.569006026145445
20,DeepSeek,debias,4,99.00148178027494,137,-37.99851821972506
21,DeepSeek,debias,1,96.3027527290948,85,11.302752729094806
22,DeepSeek,debias,4,86.38140911192117,64,22.381409111921172
23,DeepSeek,debias,1,124.4508267734806,126,-1.5491732265194003
24,DeepSeek,debias,4,96.90941035862396,112,-15.090589641376042
25,DeepSeek,debias,2,91.43344355673786,78,13.433443556737856
26,DeepSeek,debias,3,92.9573289902354,106,-13.042671009764604
27,DeepSeek,debias,1,110.64618371106698,107,3.646183711066982
28,DeepSeek,debias,4,107.30888128728157,96,11.308881287281565
29,DeepSeek,debias,4,108.25465223191976,92,16.254652231919763
30,DeepSeek,debias,1,108.61642006015764,120,-11.383579939842363
